state_name_abbreviation,state_name,state_population,crimes_count,crimes_per_thousand
AK,Alaska,733391,39,0.053
NM,New Mexico,2117522,106,0.05
OK,Oklahoma,3959353,164,0.041
AZ,Arizona,7151502,254,0.036
CO,Colorado,5773714,195,0.034
NV,Nevada,3104614,96,0.031
WV,West Virginia,1793716,54,0.03
MT,Montana,1084225,31,0.029
AR,Arkansas,3011524,83,0.028
WY,Wyoming,576851,14,0.024
ID,Idaho,1839106,42,0.023
LA,Louisiana,4657757,109,0.023
MO,Missouri,6154913,141,0.023
MS,Mississippi,2961279,65,0.022
AL,Alabama,5024279,104,0.021
OR,Oregon,4237256,88,0.021
KY,Kentucky,4505836,95,0.021
HI,Hawaii,1455271,30,0.021
CA,California,39538223,799,0.02
WA,Washington,7705281,152,0.02
TN,Tennessee,6910840,139,0.02
DC,District of Columbia,689545,13,0.019
SD,South Dakota,886667,17,0.019
UT,Utah,3271616,60,0.018
GA,Georgia,10711908,182,0.017
SC,South Carolina,5118425,88,0.017
TX,Texas,29145505,481,0.017
KS,Kansas,2937880,50,0.017
ME,Maine,1362359,22,0.016
FL,Florida,21538187,350,0.016
NC,North Carolina,10439388,156,0.015
WI,Wisconsin,5893718,91,0.015
ND,North Dakota,779094,11,0.014
VT,Vermont,643077,9,0.014
IN,Indiana,6785528,95,0.014
MD,Maryland,6177224,79,0.013
DE,Delaware,989948,13,0.013
OH,Ohio,11799448,155,0.013
NE,Nebraska,1961504,24,0.012
VA,Virginia,8631393,95,0.011
MN,Minnesota,5706494,61,0.011
IA,Iowa,3190369,32,0.01
NH,New Hampshire,1377529,13,0.009
IL,Illinois,12812508,104,0.008
PA,Pennsylvania,13002700,108,0.008
MI,Michigan,10077331,78,0.008
NJ,New Jersey,9288994,68,0.007
CT,Connecticut,3605944,21,0.006
MA,Massachusetts,7029917,35,0.005
NY,New York,20201249,101,0.005
RI,Rhode Island,1097379,4,0.004
